startDate,country,iso3c,group15C,type,cumReparationsAR6,cumReparationsAR6lwr,cumReparationsAR6upr,share,cumPop,cumRepPerCap,cumRepPerCapLwr,cumRepPerCapUpr,overshoot15C
1960,Malta,MLT,EU and UK,Overemitters,-11120695504.761553,-8157495320.646283,-17304862767.58813,0.005802183830979862,13689281,-812.3652005362117,-595.9038550414944,-1264.117725948363,1.350729452487118
1960,Barbados,BRB,Global South overshoot,Overemitters,-6939657007.014617,-5090528693.764982,-10798768126.427023,0.0036207416758606468,8877957,-781.6727437421264,-573.389654147343,-1216.3573360883618,1.3183382589553285
1960,Liechtenstein,LIE,Rest of global North,Overemitters,-5582685175.123807,-4095133094.257877,-8687190543.864967,0.0029127463873716473,1228811,-4543.160156544665,-3332.598010807095,-7069.590477188898,3.1322419905846326
1960,Andorra,AND,Rest of global North,Overemitters,-5495156272.570331,-4030926982.9858284,-8550987224.006333,0.0028670784898087893,2405229,-2284.6707205718585,-1675.9015390991162,-3555.1655264452297,2.1233815392505138
1960,San Marino,SMR,Global South overshoot,Overemitters,-5140474480.334184,-3770753052.385357,-7999068529.876029,0.002682024510120703,1060700,-4846.303837403774,-3554.966580923312,-7541.310954912821,3.278676174521667
1960,Antigua and Barbuda,ATG,Global South overshoot,Overemitters,-4154443084.2870374,-3047457778.648124,-6464709641.45729,0.0021675660915322584,3294160,-1261.1540071784725,-925.1092171139605,-1962.4759093235573,1.6169346536406577
1960,Seychelles,SYC,Global South overshoot,Overemitters,-3178167713.7287264,-2331318957.692034,-4945532059.115055,0.0016581978449858152,3194672,-994.8338088319322,-729.7522117112597,-1548.0562821832898,1.4759345958410106
1960,Montenegro,MNE,Global South overshoot,Overemitters,-1721496840.4428127,-1262789941.0074456,-2678813260.010952,8.981849317269277e-4,19057209,-90.33310388959961,-66.263110249116,-140.56692456964458,1.0355729702433976
1960,India,IND,India,Within fair shares,56900530438794.42,41738919170839.17,88542651871432.7,0.2968765195888972,47657268522,1193.9528261576188,875.8143398749606,1857.9044627905773,0.2359886141873199
1960,China,CHN,China,Within fair shares,15327039307998.795,11243024447601.104,23850334877416.93,0.07996828940382915,44856087015,341.6936324132194,250.64657208822973,531.707878786692,0.8146212683793564
1960,Indonesia,IDN,Rest of global South,Within fair shares,10469500911624.3,7679816847742.066,16291541877324.52,0.054624253385811894,9519285684,1099.8200137244983,806.7639844710502,1711.4248293553494,0.3008090399988094
1960,Nigeria,NGA,Sub-Sah. Africa,Within fair shares,9856912992641.271,7230457985209.695,15338296653898.988,0.05142809742861024,9243412630,1066.3716299594937,782.228195865978,1659.3759543004398,0.1384079300551827
1960,Pakistan,PAK,Rest of global South,Within fair shares,9567891165948.352,7018448385827.837,14888551128035.33,0.04992013619640143,8733309289,1095.5630734387873,803.6413407077993,1704.8006242934894,0.17243408589864093
1960,Bangladesh,BGD,Rest of global South,Within fair shares,7893786589714.296,5790422652989.946,12283484750854.383,0.04118555435353412,5651361542,1396.7937692623198,1024.6066562821131,2173.5443148638647,0.1030662569754914
1960,Brazil,BRA,Rest of global South,Within fair shares,6284933100731.079,4610261322040.219,9779955288323.082,0.03279141776720546,6971641525,901.4997512699965,661.2877764165046,1402.8195875035444,0.45939484667982883
1960,"Congo, Dem. Rep.",COD,Sub-Sah. Africa,Within fair shares,4785033743225.802,3510022403975.174,7445968845145.224,0.02496574553610448,4310528712,1110.0804710811544,814.2904591271341,1727.3910795250083,0.03756460411770934
1960,Philippines,PHL,Rest of global South,Within fair shares,4481905570613.357,3287665209806.5796,6974272499732.1045,0.023384184939383414,3996821972,1121.3673268440882,822.569839947472,1744.954503500739,0.22500122430595001
