startDate,scenario,date,region,overshoot,grp
1850,Historical,1996,USA,190124917.12430125,1.5C
1850,Historical,1996,EU and UK,108379855.68133867,1.5C
1850,Historical,1996,Rest of global North,38403802.60609673,1.5C
1850,Historical,1996,Rest of global South overshoot,14454378.074218065,1.5C
1850,Historical,1997,USA,196236737.13130122,1.5C
1850,Historical,1997,EU and UK,111694158.26382868,1.5C
1850,Historical,1997,Rest of global North,40679139.12470934,1.5C
1850,Historical,1997,Rest of global South overshoot,15159150.091654565,1.5C
1850,Historical,1998,USA,202715619.00130123,1.5C
1850,Historical,1998,EU and UK,115063042.48828866,1.5C
1850,Historical,1998,Rest of global North,42849479.516585134,1.5C
1850,Historical,1998,Rest of global South overshoot,15829830.569396567,1.5C
1850,Historical,1999,USA,209326279.20230126,1.5C
1850,Historical,1999,EU and UK,118376241.98499867,1.5C
1850,Historical,1999,Rest of global North,45020188.043658905,1.5C
1850,Historical,1999,Rest of global South overshoot,16442044.741012262,1.5C
1850,Historical,2000,USA,216178303.37030125,1.5C
1850,Historical,2000,EU and UK,121675067.56357867,1.5C
1850,Historical,2000,Rest of global North,48095666.923942864,1.5C
1850,Historical,2000,Rest of global South overshoot,17143786.335647244,1.5C
1850,Historical,2001,USA,222980440.20830125,1.5C
1850,Historical,2001,EU and UK,124978502.66527867,1.5C
1850,Historical,2001,Rest of global North,51945406.22499146,1.5C
1850,Historical,2001,Rest of global South overshoot,17883077.406846747,1.5C
1850,Historical,2002,USA,229842219.92530125,1.5C
1850,Historical,2002,EU and UK,128264154.76631866,1.5C
1850,Historical,2002,Rest of global North,55803189.59245727,1.5C
1850,Historical,2002,Rest of global South overshoot,18645917.692723054,1.5C
1850,Historical,2003,USA,236798063.57330126,1.5C
1850,Historical,2003,EU and UK,131686382.32899867,1.5C
1850,Historical,2003,Rest of global North,59813971.52926856,1.5C
1850,Historical,2003,Rest of global South overshoot,19555724.227956954,1.5C
1850,Historical,2004,USA,243988400.15430123,1.5C
1850,Historical,2004,EU and UK,135147249.79343867,1.5C
1850,Historical,2004,Rest of global North,63924148.28959005,1.5C
1850,Historical,2004,Rest of global South overshoot,20553743.675580055,1.5C
1850,Historical,2005,USA,251303775.21030128,1.5C
1850,Historical,2005,EU and UK,138594455.91866866,1.5C
1850,Historical,2005,Rest of global North,68077343.48859245,1.5C
1850,Historical,2005,Rest of global South overshoot,21618825.514451757,1.5C
1850,Historical,2006,USA,258646509.35130125,1.5C
1850,Historical,2006,EU and UK,142107643.47420746,1.5C
