startDate,scenario,labelNS,northSouth,date,cumCO2,cumCO2_lwr,cumCO2_upr,fairShare350,fairShare15C,fairShare2C,overshoot15C,overshoot15Clwr,overshoot15Cupr,overshootFairShare350,overshootFairShare15C,overshootFairShare2C
1850,Historical,Global North,NRT,1891,27864421.7037,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.06,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1892,29324231.5417,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.07,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1893,30763292.3107,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.07,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1894,32254310.5797,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.07,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1895,33829508.4497,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.08,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1896,35454867.0207,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.08,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1897,37155808.2927,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.09,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1898,38945690.1647,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.09,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1899,40901435.9377,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.09,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1900,42966158.1117,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.1,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1901,45089192.4857,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.1,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1902,47261631.6607,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.11,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1903,49629059.3367,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.11,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1904,52015010.2137,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.12,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1905,54557480.5907,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.13,0,0,0.38087779244082254,1,1.3240245966020796
